card_number,word,part_of_speech,definition,sample_sentence,synonyms_top_3,antonyms_top_3,root
1,Fractious,adjective,"Irritable, quarrelsome, or difficult to control.",The fractious committee argued for an hour before agreeing on a plan.,"testy, irritable, unruly","agreeable, calm, cooperative",From fraction; shaped like faction/factious.
2,Insatiable,adjective,Impossible to satisfy; always wanting more.,Her insatiable curiosity led her to read every book on the shelf.,"unquenchable, voracious, ravenous","satisfied, content, sated","Latin in-, not + satis, enough."
3,Hegemony,noun,"Leadership or dominance, especially by one group over others.","The empire maintained hegemony through trade, alliances, and military force.","dominance, supremacy, leadership","subordination, weakness, inferiority","Greek hegemon, leader."
4,Fortuitous,adjective,"Happening by chance, often in a lucky way.",A fortuitous meeting at the airport led to a new job offer.,"accidental, chance, serendipitous","intentional, planned, deliberate","Latin fortuitus, happening by chance."
5,Marginal,adjective,"Minor, slight, or at the edge of importance.",The new policy produced only marginal improvements in attendance.,"slight, minimal, peripheral","central, major, significant","Latin margo, edge or border."
6,Extol,verb,To praise enthusiastically.,The teacher extolled the student for her careful research.,"praise, laud, acclaim","criticize, condemn, disparage","Latin ex-, upward + tollere, raise."
7,Impinge,verb,"To affect, limit, or encroach upon something.",The loud music began to impinge on our ability to concentrate.,"encroach, intrude, affect","avoid, withdraw, disengage","Latin in-, against + pangere, fasten or drive in."
8,Meticulous,adjective,Extremely careful and precise.,He kept meticulous notes during the experiment.,"careful, exacting, precise","careless, sloppy, negligent","Latin metus, fear; originally fearful, later careful."
9,Eminent,adjective,"Famous, respected, or high in rank.",An eminent historian gave the opening lecture.,"distinguished, prominent, renowned","obscure, unknown, ordinary","Latin e-, out + minere, project."
10,Impetus,noun,A driving force that causes action or progress.,The grant gave new impetus to the research project.,"momentum, stimulus, incentive","hindrance, obstacle, deterrent","Latin impetere, rush upon or attack."
11,Fabricate,verb,To invent falsely or construct something.,The witness was accused of fabricating part of the story.,"invent, forge, concoct","verify, authenticate, reveal","Latin fabrica, workshop or craft."
12,Evanescent,adjective,Quickly fading or disappearing.,The evanescent glow of sunset vanished behind the hills.,"fleeting, transient, ephemeral","enduring, lasting, permanent","Latin e-, out + vanescere, vanish."
13,Impervious,adjective,Not allowing passage; not affected by something.,The coat was impervious to rain and wind.,"impermeable, resistant, unaffected","porous, receptive, susceptible","Latin in-, not + pervius, passable."
14,Enervate,verb,To weaken or drain of energy.,The long heat wave enervated the whole team.,"weaken, sap, debilitate","energize, strengthen, invigorate","Latin e-, out + nervus, sinew or strength."
15,Frenetic,adjective,"Fast, frantic, and full of nervous energy.",The office became frenetic before the product launch.,"frantic, feverish, frenzied","calm, leisurely, composed","Greek phren, mind."
16,Insipid,adjective,"Lacking flavor, interest, or force.",The soup tasted insipid until she added herbs.,"bland, dull, vapid","flavorful, lively, exciting","Latin in-, not + sapidus, tasty."
17,Mar,verb,"To spoil, damage, or blemish.",One careless scratch can mar the polished surface.,"spoil, blemish, damage","enhance, repair, beautify","Old English merran, hinder or spoil."
18,Expound,verb,To explain in detail.,The professor expounded the theory with clear examples.,"explain, elaborate, clarify","obscure, confuse, conceal","Latin ex-, out + ponere, put or place."
19,Engender,verb,"To cause, produce, or give rise to.",The leader's speech engendered hope among the volunteers.,"cause, generate, provoke","prevent, suppress, stifle","Latin generare, beget or produce."
20,Elusive,adjective,"Difficult to find, catch, or understand.",The answer remained elusive despite hours of study.,"evasive, slippery, fleeting","obvious, accessible, clear","Latin eludere, escape or play away."
21,Magnanimous,adjective,"Generous and forgiving, especially toward a rival.",She was magnanimous in victory and praised her opponent.,"generous, noble, forgiving","petty, mean, vindictive","Latin magnus, great + animus, spirit."
22,Indignant,adjective,Angry because something seems unfair or wrong.,He was indignant when he learned of the false accusation.,"outraged, resentful, offended","pleased, accepting, indifferent","Latin indignari, deem unworthy."
23,Immure,verb,"To enclose, imprison, or shut away.",The old tale says the prisoner was immured in a stone tower.,"confine, imprison, entomb","free, release, liberate","Latin in-, in + murus, wall."
24,Forlorn,adjective,"Sad, abandoned, or hopeless.",The forlorn house stood empty at the end of the road.,"desolate, hopeless, lonely","hopeful, cheerful, supported","Old English forloren, lost."
25,Imperative,adjective,"Urgent, essential, or absolutely necessary.",It is imperative that the team check the data before publishing.,"essential, urgent, mandatory","optional, unimportant, discretionary","Latin imperare, command."
26,Innate,adjective,Inborn or existing naturally.,She has an innate sense of rhythm.,"inborn, inherent, natural","acquired, learned, external","Latin in-, in + natus, born."
27,Mercurial,adjective,"Changing quickly and unpredictably, especially in mood.",His mercurial temper made negotiations difficult.,"changeable, volatile, fickle","steady, predictable, constant","From Mercury, the changeable Roman messenger god."
28,Epitome,noun,A perfect example of a quality or type.,The quiet library was the epitome of calm.,"embodiment, exemplar, model","opposite, antithesis, exception","Greek epitome, abridgment or summary."
29,Edict,noun,An official order or proclamation.,The king issued an edict banning trade at night.,"decree, mandate, proclamation","request, suggestion, permission","Latin edicere, proclaim."
30,Mitigate,verb,To make something less severe or painful.,Planting trees can mitigate summer heat in the city.,"alleviate, lessen, soften","worsen, intensify, aggravate","Latin mitis, mild."
31,Integral,adjective,Necessary to make a whole complete.,Trust is integral to a strong partnership.,"essential, fundamental, necessary","incidental, optional, peripheral","Latin integer, whole or untouched."
32,Inane,adjective,"Silly, empty, or lacking sense.",The meeting drifted into inane jokes and distractions.,"silly, foolish, absurd","sensible, wise, meaningful","Latin inanis, empty."
33,Surfeit,noun,An excessive amount or overabundance.,"After the holidays, there was a surfeit of desserts in the kitchen.","excess, glut, overabundance","lack, shortage, scarcity","Latin superfacere, overdo."
34,Sanguine,adjective,Optimistic and confident.,She remained sanguine even after the first plan failed.,"optimistic, hopeful, confident","pessimistic, gloomy, doubtful","Latin sanguis, blood."
35,Veracity,noun,Truthfulness or accuracy.,The journalist checked the veracity of every claim.,"truthfulness, accuracy, honesty","falsehood, dishonesty, deceit","Latin verus, true."
36,Bequeath,verb,"To leave or pass down, especially by will.",The artist bequeathed her paintings to the museum.,"leave, grant, hand down","withhold, take, reclaim","Old English becwethan, declare or say."
37,Concede,verb,"To admit, grant, or yield reluctantly.",He had to concede that the evidence was convincing.,"admit, yield, grant","deny, resist, contest","Latin con-, together + cedere, yield or go."
